state,long,lat
AL,32.688053,-86.810585
AK,64.724809,-153.629618
AS,45.658165,-122.583599
AZ,34.255149,-111.62621
AR,34.755883,-92.640559
CA,36.531544,-119.586168
CO,38.996664,-105.547822
CT,41.580163,-72.756629
DE,38.978849,-75.46014
DC,42.398649,-83.164515
FL,27.97762,-81.769611
GA,32.53951,-83.380775
GU,37.545284,-90.286347
HI,19.647634,-155.533256
ID,43.764877,-114.964267
IL,40.265028,-89.191575
IN,39.904493,-86.250281
IA,42.039943,-93.500069
KS,38.500327,-98.380429
KY,37.696825,-84.924095
LA,34.05513,-118.25703
ME,45.243327,-69.171071
MD,39.038828,-76.346717
MA,42.358752,-71.531484
MI,43.924812,-84.633107
MN,46.63636,-94.579641
MS,32.921921,-89.687118
MO,38.353141,-92.747022
MT,47.001265,-109.645406
NE,41.499671,-99.810075
NV,39.440688,-116.598569
NH,43.644386,-71.586283
NJ,39.66502,-74.738208
NM,34.498624,-106.108278
NY,40.68295,-73.9708
NC,35.387362,-78.455056
ND,47.471495,-100.469096
OH,40.262259,-82.883453
OK,35.455622,-97.508021
OR,43.854178,-120.526709
PA,40.860198,-77.838617
RI,41.587536,-71.514739
SC,33.702857,-80.627523
SD,44.470716,-100.229958
TN,35.820245,-86.343764
TX,31.030974,-98.326329
UT,39.098999,-111.878816
VT,44.211857,-72.681238
VA,37.73086,-78.376655
WA,47.372269,-120.59234
WV,38.720281,-80.649428
WI,44.356004,-89.466198
WY,43.001645,-107.55153
