state,country,lat,long 
AK,"Alaska, USA",28.12768,-117.981766 
AL,"Alabama, USA",32.688053,-86.810585
AZ,"Arizona, USA",34.255149,-111.62621
CA,"California, USA",36.531544,-119.586168
CO,"Colorado, USA",38.996664,-105.547822
CT,"Connecticut, USA",41.580163,-72.756629
FL,"Florida, USA",27.97762,-81.769611
GA,"Georgia, USA",32.53951,-83.380775
HI,"Hawaii, USA",24.200987,-104.313994
IL,"Illinois, USA",40.265028,-89.191575
IN,"Indiana, USA",39.904493,-86.250281
KY,"Kentucky, USA",37.696825,-84.924095
LA,"Los Angeles, CA, USA",34.05513,-118.25703
MA,"Massachusetts, USA",42.358752,-71.531484
MD,"Maryland, USA",39.038828,-76.346717
MI,"Michigan, USA",43.924812,-84.633107
MN,"Minnesota, USA",46.63636,-94.579641
MO,"Missouri, USA",38.353141,-92.747022
NC,"North Carolina, USA",35.387362,-78.455056
NE,"Nebraska, USA",41.499671,-99.810075
NJ,"New Jersey, USA",39.66502,-74.738208
NM,"New Mexico, USA",34.498624,-106.108278
NV,"Nevada, USA",39.440688,-116.598569
NY,"New York, NY, USA",40.68295,-73.9708
OH,"Ohio, USA",40.262259,-82.883453
OR,"Oregon, USA",43.854178,-120.526709
PA,"Pennsylvania, USA",40.860198,-77.838617
PR,Puerto Rico,18.234668,-66.481065
TN,"Tennessee, USA",35.820245,-86.343764
TX,"Texas, USA",31.030974,-98.326329
UT,"Utah, USA",39.098999,-111.878816
VA,"Virginia, USA",37.73086,-78.376655
WA,"Washington, USA",47.372269,-120.59234
WI,"Wisconsin, USA",44.356004,-89.466198
